year,month,total_prep_time_mins,prep_time/event
2015,3,129771693,20920.795260357892
2015,4,133452002,21996.374155266196
2015,5,131324322,21749.639284531302
2015,6,136282741,22109.464795587282
2015,7,137630188,23007.38682714811
2015,8,143404633,23892.807897367544
2015,9,151069405,23432.512021095084
2015,10,154642571,22855.833727460835
2015,11,151754020,24772.122102513877
2015,12,151376340,27924.061981184284
2016,1,164434785,26415.226506024097
2016,2,161347818,23766.065399911622
2016,3,179454428,23445.835902795923
2016,4,176186478,22934.97500650872
2016,5,186403548,24491.334647221127
2016,6,188776315,24891.39174578059
2016,7,188656912,26400.351525328857
2016,8,202468783,26637.124457308248
2016,9,204831996,25597.600099975007
2016,10,205464534,25096.43752290216
2016,11,207011446,27749.523592493297
2016,12,200425423,31006.408261138615
2017,1,213216806,29044.654134314125
2017,2,206108821,26089.72417721519
2017,3,222994233,25613.856305995865
2017,4,216447291,25749.14239828694
2017,5,227251657,26852.37587144039
2017,6,228026920,26548.715799278147
2017,7,228794222,28855.36915121705
2017,8,244514577,28561.450414671184
2017,9,241655543,28679.746380251603
2017,10,252075429,28534.687457550375
2017,11,248344373,29942.65408729202
2017,12,236823486,34837.2294792586
2018,1,244665342,31239.19075587334
2018,2,227850294,27554.758011851492
2018,3,233879403,25800.26508549366
2018,4,226527293,25287.70852868944
2018,5,236218786,25172.504901960783
2018,6,224111477,25057.186605545616
2018,7,226151825,26596.709984711277
2018,8,233797136,26417.755480225987
2018,9,227283002,25377.735819562306
2018,10,238789719,24518.91559708389
2018,11,229489645,26469.39388696655
2018,12,225212972,29370.49713093375
2019,1,238932369,27062.223241590214
2019,2,216282253,24160.215929401253
2019,3,220019033,23680.877515875578
2019,4,224710348,23643.765572390574
2019,5,229521729,24311.16714331109
2019,6,222488676,23841.478354050578
2019,7,225767712,25367.158651685393
2019,8,227549696,24430.931500966286
2019,9,228511845,24905.923160762944
2019,10,245686692,24640.125564135993
2019,11,231210906,26158.038918429687
2019,12,230223678,30023.953834115808
2020,1,232747911,27632.424433099844
2020,2,217884499,24533.779867132078
2020,3,211701469,24249.88190148912
2020,4,194564972,19119.985455974842
2020,5,182740403,18349.27231649764
2020,6,180983536,18056.82290731318
2020,7,183706787,18411.18330326719
2020,8,172275424,18270.805387633896
2020,9,175173295,18194.151952638138
2020,10,179283266,18549.74299017072
2020,11,170008579,20029.285933082
2020,12,177154373,21372.224996983954
2021,1,169021643,19717.877158189454
2021,2,7339872,74140.12121212122
2021,3,2874686,89833.9375
2021,4,2042213,107484.8947368421
2021,5,932812,103645.77777777778
2021,6,333187,111062.33333333333
2021,7,79883,79883.0
2021,8,83915,83915.0
2021,9,87947,87947.0
2021,10,92987,92987.0
2021,11,97025,97025.0
2021,12,204572,102286.0
2023,6,321403,321403.0
2025,3,410371,410371.0
2033,1,814565,814565.0
2038,1,48679360,1106349.0909090908
2038,2,93127519,1108660.9404761905
2038,3,14355164,1104243.3846153845
2038,4,16612359,1107490.6
2038,5,14469032,1113002.4615384615
2038,6,14521448,1117034.4615384615
2038,7,19091070,1123004.1176470588
2038,8,14643416,1126416.6153846155
2038,9,16944999,1129666.6
2038,10,14757320,1135178.4615384615
2038,11,14809790,1139214.6153846155
2038,12,17261314,1150754.2666666666
2039,1,14931782,1148598.6153846155
2039,2,6946532,1157755.3333333333
2039,3,1148974,1148974.0
2039,4,1154014,1154014.0
2039,5,1158046,1158046.0
2039,6,1163086,1163086.0
2039,7,2219497,1109748.5
2039,8,1171150,1171150.0
2039,9,1176190,1176190.0
2039,10,1180222,1180222.0
2039,11,1184260,1184260.0
2039,12,1189300,1189300.0
2040,1,2332083,1166041.5
2040,2,1198372,1198372.0
2040,3,1202398,1202398.0
2040,4,1206430,1206430.0
2040,5,1210462,1210462.0
2040,6,1215502,1215502.0
2040,7,2376718,1188359.0
2040,8,1224574,1224574.0
2040,9,1228606,1228606.0
2040,10,1232638,1232638.0
2040,11,1237684,1237684.0
2040,12,1241716,1241716.0
2041,1,1245748,1245748.0
2041,2,1250788,1250788.0
2041,3,1254814,1254814.0
